"filename", "language", "pip requirements", "Python", "c", "cpp", "bash", "Excel", "comment", "blank", "total"
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_daemon_thread.py", "Python", 0, 153, 0, 0, 0, 0, 0, 41, 194
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_defaults.py", "Python", 0, 6, 0, 0, 0, 0, 0, 3, 9
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_dont_trace.py", "Python", 0, 102, 0, 0, 0, 0, 0, 22, 124
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_dont_trace_files.py", "Python", 0, 146, 0, 0, 0, 0, 0, 8, 154
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_exec2.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 5
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_extension_api.py", "Python", 0, 65, 0, 0, 0, 0, 0, 23, 88
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_extension_utils.py", "Python", 0, 54, 0, 0, 0, 0, 0, 14, 68
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_filtering.py", "Python", 0, 272, 0, 0, 0, 0, 0, 60, 332
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_frame.py", "Python", 0, 1067, 0, 0, 0, 0, 0, 173, 1240
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_frame_utils.py", "Python", 0, 222, 0, 0, 0, 0, 0, 81, 303
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_gevent_integration.py", "Python", 0, 75, 0, 0, 0, 0, 0, 19, 94
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_import_class.py", "Python", 0, 53, 0, 0, 0, 0, 0, 16, 69
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_io.py", "Python", 0, 202, 0, 0, 0, 0, 0, 57, 259
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_json_debug_options.py", "Python", 0, 150, 0, 0, 0, 0, 0, 47, 197
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_net_command.py", "Python", 0, 113, 0, 0, 0, 0, 0, 34, 147
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_net_command_factory_json.py", "Python", 0, 391, 0, 0, 0, 0, 0, 84, 475
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_net_command_factory_xml.py", "Python", 0, 415, 0, 0, 0, 0, 0, 79, 494
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_plugin_utils.py", "Python", 0, 65, 0, 0, 0, 0, 0, 27, 92
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_process_net_command.py", "Python", 0, 611, 0, 0, 0, 0, 0, 147, 758
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_process_net_command_json.py", "Python", 0, 1093, 0, 0, 0, 0, 0, 219, 1312
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_referrers.py", "Python", 0, 213, 0, 0, 0, 0, 0, 45, 258
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_reload.py", "Python", 0, 322, 0, 0, 0, 0, 0, 112, 434
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_resolver.py", "Python", 0, 561, 0, 0, 0, 0, 0, 163, 724
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_runpy.py", "Python", 0, 305, 0, 0, 0, 0, 0, 49, 354
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_safe_repr.py", "Python", 0, 333, 0, 0, 0, 0, 0, 67, 400
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_save_locals.py", "Python", 0, 74, 0, 0, 0, 0, 0, 23, 97
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_signature.py", "Python", 0, 152, 0, 0, 0, 0, 0, 50, 202
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_source_mapping.py", "Python", 0, 119, 0, 0, 0, 0, 0, 35, 154
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_stackless.py", "Python", 0, 334, 0, 0, 0, 0, 0, 83, 417
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_suspended_frames.py", "Python", 0, 415, 0, 0, 0, 0, 0, 119, 534
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_thread_lifecycle.py", "Python", 0, 75, 0, 0, 0, 0, 0, 22, 97
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_timeout.py", "Python", 0, 184, 0, 0, 0, 0, 0, 56, 240
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_trace_api.py", "Python", 0, 32, 0, 0, 0, 0, 0, 31, 63
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_trace_dispatch.py", "Python", 0, 51, 0, 0, 0, 0, 0, 12, 63
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_trace_dispatch_regular.py", "Python", 0, 413, 0, 0, 0, 0, 0, 78, 491
